stage,detuning_hz,intensity_prefactor,singlet,triplet_m,triplet_0,triplet_p
AP1,-1800000.0,16.155980984398745,0.9950178347569958,0.9920366212382437,0.9911375785339126,0.9920327890122153
AP1,-1800000.0,31.622776601683793,0.9902448910174051,0.9846158986301039,0.9826728381834585,0.9846105888103549
AP1,-1450000.0,0.01,0.017383315791218813,0.01737219083524593,0.017402515280317995,0.017372202710837656
AP1,-1450000.0,0.019573417814876606,0.033814495514837395,0.03379907386694951,0.033811895215523344,0.03379909727789393
AP1,-1450000.0,0.03831186849557289,0.06522272293300431,0.0652003800373751,0.06516560143504657,0.06520042595233212
AP1,-1450000.0,0.07498942093324558,0.12384184140288658,0.12380648054085867,0.12367314608458828,0.12380657003647896
AP1,-1450000.0,0.14677992676220697,0.22828350238400308,0.2282209955501672,0.22792868446902018,0.22822116777227833
AP1,-1450000.0,0.28729848333536656,0.3983196682558892,0.3982026152654259,0.3977523482530781,0.3982029290080348
AP1,-1450000.0,0.5623413251903491,0.6308775207085913,0.6306700028010513,0.6302835604104569,0.6306704442502791
AP1,-1450000.0,1.1006941712522103,0.8589739751773302,0.8586580305729218,0.8586867645266526,0.8586579039681228
AP1,-1450000.0,2.1544346900318843,0.9792398462885104,0.9788436647226801,0.9787591921357579,0.9788417939450829
AP1,-1450000.0,4.216965034285822,0.9989791341163261,0.9985480094584106,0.9985026767822103,0.9985498349725165
AP1,-1450000.0,8.25404185268019,0.9988169964922897,0.9980755863474569,0.9978712870811197,0.9980776499308844
AP1,-1450000.0,16.155980984398745,0.9976787625309778,0.996216729363221,0.9958405121974189,0.9962212164344159
AP1,-1450000.0,31.622776601683793,0.9954662955284492,0.9928821046851474,0.9918887759032733,0.992879892476558
AP1,-1100000.0,0.01,0.019369647049785065,0.01939038016735663,0.01922158649698023,0.019390381446889753
AP1,-1100000.0,0.019573417814876606,0.037558322149879635,0.037584142448092515,0.03735054677871884,0.037584144636551575
AP1,-1100000.0,0.03831186849557289,0.07218787681649055,0.07221718029488779,0.07189923877467243,0.0722171835080978
AP1,-1100000.0,0.07498942093324558,0.13640338090900542,0.13643066669003578,0.1360098788891645,0.13643066952375715
AP1,-1100000.0,0.14677992676220697,0.24951556363275895,0.2495296647513887,0.24899492542222365,0.24952965709303965
AP1,-1100000.0,0.28729848333536656,0.42983580908067776,0.4298234344575122,0.4291779926717832,0.42982336268842686
AP1,-1100000.0,0.5623413251903491,0.6670339048965529,0.6669907795078029,0.6662881189806809,0.6669904373892938
AP1,-1100000.0,1.1006941712522103,0.88372985910347,0.8836342584226028,0.8832057666971737,0.8836333017411577
AP1,-1100000.0,2.1544346900318843,0.9849747571904249,0.9847429445536005,0.9850431447373262,0.9847431852788614
AP1,-1100000.0,4.216965034285822,0.9995032432131077,0.9992575049349807,0.9992617254092531,0.999255866974701
AP1,-1100000.0,8.25404185268019,0.9994700482851836,0.9990363387460712,0.9990502340877283,0.9990339319502358
AP1,-1100000.0,16.155980984398745,0.9989635118955785,0.9982300165284368,0.9981453501065402,0.998226736552424
AP1,-1100000.0,31.622776601683793,0.997977246209841,0.9967202293839094,0.9963865193409802,0.9967244498968094
AP1,-750000.0,0.01,0.020479334821291648,0.0205335326578822,0.020539438823205417,0.020533523604037405
AP1,-750000.0,0.019573417814876606,0.03970562146218684,0.03977418906806706,0.0397645980928458,0.03977417231097324
AP1,-750000.0,0.03831186849557289,0.07625830224258864,0.0763396185094188,0.07629331459198442,0.07633958723918402
AP1,-750000.0,0.07498942093324558,0.14383614709374828,0.1439223799487764,0.1438025478451662,0.1439223199832473
AP1,-750000.0,0.14677992676220697,0.2621575132323203,0.2622328312116326,0.2619919171131212,0.2622327130224289
AP1,-750000.0,0.28729848333536656,0.44857665753742265,0.44862434571486504,0.44824809278710087,0.4486241067858297
AP1,-750000.0,0.5623413251903491,0.6882862331903106,0.6883029745314291,0.6879288752151665,0.6883025216951361
AP1,-750000.0,1.1006941712522103,0.8980378329725739,0.8979908555861909,0.8979471315928341,0.8979904218114348
AP1,-750000.0,2.1544346900318843,0.9886497651570841,0.9884716316068223,0.9885850382122197,0.9884722351810676
AP1,-750000.0,4.216965034285822,0.9997699911421696,0.9995635466805233,0.999673151134959,0.9995627745081285
AP1,-750000.0,8.25404185268019,0.999791674447428,0.9994993272847253,0.999615539204164,0.9994999370189181
AP1,-750000.0,16.155980984398745,0.9995966608487286,0.9991679435109982,0.9992466903659694,0.9991696470916465
AP1,-750000.0,31.622776601683793,0.9992190135611323,0.9985152926069267,0.9985188137888231,0.9985122326555325
AP1,-400000.0,0.01,0.020660359564192144,0.020604756368640693,0.02072109661443057,0.02060475294515465
AP1,-400000.0,0.019573417814876606,0.04011355429587621,0.04004111367836681,0.04023528199666137,0.040041107028134265
AP1,-400000.0,0.03831186849557289,0.0771108374252807,0.07701922242313333,0.0773406110478258,0.07701920928430334
AP1,-400000.0,0.07498942093324558,0.14549400271849935,0.14538166859976429,0.145896783591912,0.1453816450174338
AP1,-400000.0,0.14677992676220697,0.2650743346087577,0.2649375664102257,0.26570575491495135,0.264937531090923
AP1,-400000.0,0.28729848333536656,0.4528976126051659,0.4527210188482462,0.45371249749144815,0.452720988602138
AP1,-400000.0,0.5623413251903491,0.6929514691420872,0.6927054107831369,0.6936445174917469,0.6927054603598117
AP1,-400000.0,1.1006941712522103,0.9009089709486214,0.900624708382503,0.9009721916292887,0.9006248282476859
AP1,-400000.0,2.1544346900318843,0.9892482240972648,0.9890919425109204,0.9890053914711565,0.9890913132297043
AP1,-400000.0,4.216965034285822,0.9997635260351558,0.9996404741678853,0.9997727583941434,0.999640795867543
AP1,-400000.0,8.25404185268019,0.9999025830210457,0.9997615757154736,0.9998430851135671,0.9997609865729209
AP1,-400000.0,16.155980984398745,0.999813560260897,0.9996156277929578,0.9996953600606556,0.9996141808684874
AP1,-400000.0,31.622776601683793,0.9996350374521912,0.9993676456894779,0.9994081376566063,0.9993687686540498
AP1,-50000.0,0.01,0.02044426685959036,0.02052000729727547,0.02043744006669228,0.02052000237972257
AP1,-50000.0,0.019573417814876606,0.039590104142974626,0.03968649311357528,0.03955062768307433,0.0396864848926968
AP1,-50000.0,0.03831186849557289,0.07597207166438337,0.07608861055811178,0.075869049219314,0.0760885962557171
AP1,-50000.0,0.07498942093324558,0.1432185525902893,0.1433489348963996,0.14301163972889844,0.14334890877834078
AP1,-50000.0,0.14677992676220697,0.26097564102307486,0.2611074157298778,0.2606433347042327,0.26110736615489066
AP1,-50000.0,0.28729848333536656,0.4466516119083297,0.44677588011587493,0.4462748904849102,0.4467757792836152
AP1,-50000.0,0.5623413251903491,0.6858933070283847,0.6860183776292704,0.6857702137934635,0.6860181668021185
AP1,-50000.0,1.1006941712522103,0.8962014252594223,0.8962919441627164,0.8966493641297643,0.8962916214526185
AP1,-50000.0,2.1544346900318843,0.9880109422951503,0.9879174124648002,0.9883502248330944,0.987917476485219
AP1,-50000.0,4.216965034285822,0.9998434490330859,0.9997168339843301,0.9997965230436859,0.9997163536691619
AP1,-50000.0,8.25404185268019,0.9999714816290496,0.9998398431627967,0.999966604388985,0.9998398493647025
AP1,-50000.0,16.155980984398745,0.9999453010589524,0.9998115463940429,0.9999361089805711,0.9998120102539443
AP1,-50000.0,31.622776601683793,0.9998922205969709,0.9997428279300931,0.9998774051785437,0.9997417239280723
AP1,300000.0,0.01,0.018914815922903637,0.018917395082349565,0.01889339553603726,0.01891739167760031
AP1,300000.0,0.019573417814876606,0.03664204641214633,0.03663961734328392,0.03661349275528312,0.036639610722104504
AP1,300000.0,0.03831186849557289,0.07039503518741416,0.07038106689942103,0.07036105317012636,0.07038105434479741
